duration	iti	trial_type	stim_file
3.7	4.7	motor/auditory	audio/Improv_for_Evil.wav
2.9	4.8	visual/auditory	audio/Ambush_in_Rattlesnake_Gulch.wav
2.0	4.7	motor	
2.9	3.6	visual	
3.4	4.1	motor/auditory	audio/Breaking_Bollywood.wav
2.6	5.8	visual	
0.9	4.3	visual/auditory	audio/Le_Baguette.wav
0.7	4.7	motor	
1.3	3.9	visual/auditory	audio/Stereotype_News.wav
3.8	3.5	motor/auditory	audio/Funshine.wav
3.7	4.6	visual	
0.7	6.6	motor	
2.0	4.8	visual/auditory	audio/Improv_for_Evil.wav
3.7	5.0	motor	
3.4	5.3	motor/auditory	audio/Stereotype_News.wav
2.3	4.9	visual	
1.0	4.7	visual/auditory	audio/Breaking_Bollywood.wav
2.6	5.6	motor	
1.8	3.7	visual	
3.3	6.0	motor/auditory	audio/Funshine.wav
1.8	5.4	visual/auditory	audio/Desert_Conflict.wav
3.4	2.9	motor	
3.5	5.8	visual	
3.3	4.3	motor/auditory	audio/Shenzhen_Nightlife.wav
2.0	3.8	motor	
2.6	4.6	visual	
1.5	7.7	motor/auditory	audio/Bleu.wav
3.0	3.1	visual/auditory	audio/Le_Baguette.wav
2.4	3.2	visual	
2.7	3.3	motor/auditory	audio/Coy_Koi.wav
3.4	4.5	visual/auditory	audio/Bleu.wav
2.8	7.9	motor	
1.7	4.0	visual	
1.9	4.2	visual/auditory	audio/Jack_The_Lumberer.wav
1.9	3.7	motor/auditory	audio/Ambush_in_Rattlesnake_Gulch.wav
3.8	5.4	motor	
3.6	4.6	motor/auditory	audio/Cumbish.wav
0.8	3.8	visual	
1.1	7.6	motor	
2.2	6.9	visual/auditory	audio/Jack_The_Lumberer.wav
3.5	5.0	motor	
1.8	4.8	motor/auditory	audio/Ukulele_Song.wav
3.0	4.0	visual/auditory	audio/Cumbish.wav
3.7	3.8	visual	
0.8	2.8	visual/auditory	audio/Cumbish.wav
1.2	5.5	visual	
3.5	5.9	motor	
2.8	4.9	motor/auditory	audio/Ukulele_Song.wav
3.5	3.9	visual	
0.7	4.1	motor/auditory	audio/Shenzhen_Nightlife.wav
1.6	3.7	visual/auditory	audio/Bollywood_Groove.wav
4.0	3.4	motor	
2.3	4.7	motor/auditory	audio/Shenzhen_Nightlife.wav
3.5	6.8	visual/auditory	audio/Bollywood_Groove.wav
2.7	5.1	motor	
2.8	5.7	visual	
2.3	3.7	visual/auditory	audio/Ambush_in_Rattlesnake_Gulch.wav
2.2	6.8	motor	
3.5	5.4	visual	
3.2	4.0	motor/auditory	audio/Funshine.wav
