duration	iti	trial_type	stim_file
0.8	3.8	visual	
0.8	3.6	motor/auditory	audio/Breaking_Bollywood.wav
3.4	3.8	visual/auditory	audio/Ambush_in_Rattlesnake_Gulch.wav
3.5	5.7	motor	
2.1	2.7	motor/auditory	audio/Coy_Koi.wav
2.4	3.6	visual/auditory	audio/Shenzhen_Nightlife.wav
1.8	5.7	motor	
2.1	4.3	visual	
1.3	6.1	motor/auditory	audio/Improv_for_Evil.wav
2.8	3.4	motor	
3.1	2.4	visual/auditory	audio/Le_Baguette.wav
3.6	5.6	visual	
0.7	7.0	visual/auditory	audio/Stereotype_News.wav
3.8	2.6	motor/auditory	audio/Breaking_Bollywood.wav
2.5	5.2	visual	
2.5	6.1	motor	
0.6	4.7	visual/auditory	audio/Funshine.wav
2.9	4.4	motor/auditory	audio/Bleu.wav
1.8	5.4	visual	
3.4	5.6	motor	
3.7	3.4	motor/auditory	audio/Breaking_Bollywood.wav
2.7	4.8	visual/auditory	audio/Le_Baguette.wav
2.3	4.3	motor	
2.1	4.9	visual	
3.0	2.7	motor/auditory	audio/Cumbish.wav
0.9	5.0	visual/auditory	audio/Bollywood_Groove.wav
1.4	7.0	motor	
3.4	4.5	visual	
4.0	6.9	motor	
1.0	4.7	motor/auditory	audio/Desert_Conflict.wav
3.4	4.4	visual/auditory	audio/Improv_for_Evil.wav
3.9	5.9	visual	
3.0	4.9	motor/auditory	audio/Desert_Conflict.wav
1.1	5.7	visual/auditory	audio/Shenzhen_Nightlife.wav
1.3	5.6	visual	
3.3	4.1	motor	
3.9	5.6	visual	
3.3	4.8	visual/auditory	audio/Stereotype_News.wav
3.8	6.3	motor	
3.5	3.6	motor/auditory	audio/Cumbish.wav
1.1	5.2	visual	
1.3	3.9	visual/auditory	audio/Ukulele_Song.wav
3.0	3.5	motor	
3.4	4.3	motor/auditory	audio/Le_Baguette.wav
3.9	3.2	visual	
3.5	6.0	visual/auditory	audio/Ukulele_Song.wav
3.9	5.2	motor/auditory	audio/Bollywood_Groove.wav
1.3	3.8	motor	
3.1	3.1	motor/auditory	audio/Improv_for_Evil.wav
1.6	6.8	visual	
1.5	4.8	motor	
1.2	5.6	visual/auditory	audio/Bleu.wav
4.0	4.1	visual	
1.3	4.8	visual/auditory	audio/Bollywood_Groove.wav
1.0	7.2	motor	
2.9	5.2	motor/auditory	audio/Coy_Koi.wav
2.9	4.3	visual	
1.3	4.3	visual/auditory	audio/Jack_The_Lumberer.wav
1.1	5.5	motor	
3.4	8.8	motor/auditory	audio/Ambush_in_Rattlesnake_Gulch.wav
