duration	iti	trial_type	stim_file
14.5	14.5	motor/auditory	audio/Coy_Koi.wav
14.5	14.5	motor/auditory	audio/Improv_for_Evil.wav
14.5	14.5	visual/auditory	audio/Funshine.wav
14.5	14.5	motor	
14.5	14.5	visual	
14.5	14.5	motor	
14.5	14.5	visual/auditory	audio/Ambush_in_Rattlesnake_Gulch.wav
14.5	14.5	visual	
14.5	14.5	motor/auditory	audio/Stereotype_News.wav
14.5	14.5	visual	
14.5	14.5	motor/auditory	audio/Desert_Conflict.wav
14.5	14.5	motor	
14.5	14.5	visual	
14.5	14.5	visual/auditory	audio/Jack_The_Lumberer.wav
14.5	14.5	visual/auditory	audio/Cumbish.wav
14.5	14.5	motor	
