duration	iti	trial_type	stim_file
3.6	5.3	visual	
3.3	7.6	visual	
0.6	5.3	motor	
3.5	4.9	visual	
1.8	4.1	visual/auditory	audio/250Hz_20s.wav
0.6	2.7	motor/auditory	audio/250Hz_20s.wav
1.8	3.7	motor/auditory	audio/600Hz_20s.wav
1.8	3.3	motor	
1.7	7.6	visual/auditory	audio/250Hz_20s.wav
3.5	4.3	motor	
0.6	4.9	visual/auditory	audio/750Hz_20s.wav
1.5	8.500000000000028	visual/auditory	audio/850Hz_20s.wav
3.3	8.500000000000028	motor/auditory	audio/850Hz_20s.wav
1.8	3.7	visual	
1.8	4.4	motor	
3.6	7.6	motor	
1.7	4.3	motor/auditory	audio/500Hz_20s.wav
1.0	2.7	motor	
1.7	3.3	visual	
2.3	3.4	motor	
2.1	5.8	motor/auditory	audio/850Hz_20s.wav
1.8	4.4	visual/auditory	audio/500Hz_20s.wav
3.1	3.4	motor/auditory	audio/250Hz_20s.wav
1.8	7.6	motor/auditory	audio/750Hz_20s.wav
1.5	8.500000000000028	motor	
3.1	5.8	motor	
3.6	4.1	motor/auditory	audio/750Hz_20s.wav
1.0	5.8	visual	
3.1	5.0	visual	
0.6	2.7	visual	
0.8	6.9	visual	
1.8	5.3	motor/auditory	audio/600Hz_20s.wav
2.1	4.1	visual	
2.8	3.4	visual	
1.5	3.3	motor/auditory	audio/600Hz_20s.wav
3.3	3.3	visual/auditory	audio/750Hz_20s.wav
3.6	5.8	visual/auditory	audio/600Hz_20s.wav
1.8	5.0	motor	
0.8	6.9	motor/auditory	audio/750Hz_20s.wav
1.8	4.3	visual	
0.8	3.7	motor	
3.5	4.9	motor/auditory	audio/500Hz_20s.wav
2.8	4.3	visual/auditory	audio/500Hz_20s.wav
0.8	7.9	visual/auditory	audio/600Hz_20s.wav
3.3	4.1	motor	
1.7	7.9	motor	
2.3	5.0	motor/auditory	audio/850Hz_20s.wav
2.3	7.9	visual	
1.0	3.7	visual/auditory	audio/250Hz_20s.wav
3.5	5.0	visual/auditory	audio/500Hz_20s.wav
3.1	2.7	visual/auditory	audio/250Hz_20s.wav
1.0	4.4	motor/auditory	audio/850Hz_20s.wav
1.5	4.4	visual	
1.8	8.500000000000028	visual	
2.1	4.9	motor	
2.8	6.9	motor	
1.8	3.4	visual/auditory	audio/750Hz_20s.wav
2.3	5.3	visual/auditory	audio/500Hz_20s.wav
2.1	6.9	visual/auditory	audio/600Hz_20s.wav
2.8	7.9	motor/auditory	audio/850Hz_20s.wav
