duration	iti	trial_type	stim_file
2.0	5.7	motor	
1.4	4.4	motor/auditory	audio/Shenzhen_Nightlife.wav
3.4	6.3	visual/auditory	audio/Le_Baguette.wav
2.9	6.0	visual	
3.1	6.2	visual/auditory	audio/Funshine.wav
1.6	6.1	motor	
0.8	4.8	motor/auditory	audio/Funshine.wav
3.1	6.8	visual	
1.2	5.3	visual/auditory	audio/Ambush_in_Rattlesnake_Gulch.wav
1.4	3.1	motor	
2.0	3.4	visual	
1.3	4.8	motor/auditory	audio/Improv_for_Evil.wav
2.3	5.2	motor	
1.0	4.4	motor/auditory	audio/Shenzhen_Nightlife.wav
1.0	4.1	visual/auditory	audio/Bleu.wav
3.2	5.5	visual	
1.5	5.4	motor/auditory	audio/Jack_The_Lumberer.wav
2.3	4.8	visual	
1.1	2.7	visual/auditory	audio/Breaking_Bollywood.wav
2.9	3.7	motor	
1.0	7.6	visual	
1.0	2.8	motor	
2.2	4.9	visual/auditory	audio/Ambush_in_Rattlesnake_Gulch.wav
1.6	4.2	motor/auditory	audio/Improv_for_Evil.wav
2.6	2.8	visual	
3.8	8.0	motor/auditory	audio/Desert_Conflict.wav
3.9	3.2	motor	
2.7	3.1	visual/auditory	audio/Stereotype_News.wav
1.6	3.6	motor/auditory	audio/Coy_Koi.wav
2.4	4.6	motor	
2.4	6.2	visual	
2.2	6.1	visual/auditory	audio/Improv_for_Evil.wav
3.2	6.7	motor/auditory	audio/Shenzhen_Nightlife.wav
2.0	5.8	visual	
3.8	5.4	motor	
2.0	4.2	visual/auditory	audio/Bollywood_Groove.wav
2.7	7.8	motor/auditory	audio/Cumbish.wav
3.4	3.7	motor	
3.7	4.4	visual	
1.2	3.6	visual/auditory	audio/Ukulele_Song.wav
3.4	4.8	visual	
3.8	3.2	motor/auditory	audio/Stereotype_News.wav
3.8	5.5	motor	
3.0	6.1	visual/auditory	audio/Jack_The_Lumberer.wav
1.3	3.6	visual	
0.6	7.0	visual/auditory	audio/Breaking_Bollywood.wav
2.8	7.1	motor	
1.2	6.5	motor/auditory	audio/Jack_The_Lumberer.wav
1.8	3.8	visual	
3.2	5.8	motor/auditory	audio/Stereotype_News.wav
3.9	3.6	motor	
1.4	4.9	visual/auditory	audio/Bleu.wav
2.4	3.5	motor/auditory	audio/Bollywood_Groove.wav
1.4	5.1	visual	
1.6	4.6	visual/auditory	audio/Desert_Conflict.wav
2.3	4.1	motor	
2.4	3.0	visual/auditory	audio/Funshine.wav
3.9	5.3	motor	
2.9	5.5	motor/auditory	audio/Ukulele_Song.wav
1.9	9.7	visual	
