duration	iti	trial_type	stim_file
0.9	5.3	motor	
2.6	4.2	visual	
3.8	4.1	motor/auditory	audio/Ukulele_Song.wav
0.8	4.5	visual/auditory	audio/Stereotype_News.wav
3.9	3.7	visual	
2.2	5.8	motor/auditory	audio/Stereotype_News.wav
4.0	3.5	motor	
2.3	5.7	visual/auditory	audio/Improv_for_Evil.wav
2.8	6.8	motor	
2.9	4.0	visual	
2.6	4.7	motor/auditory	audio/Shenzhen_Nightlife.wav
3.0	4.0	visual/auditory	audio/Le_Baguette.wav
3.9	4.4	motor/auditory	audio/Jack_The_Lumberer.wav
4.0	4.8	visual	
1.5	4.3	motor	
1.7	3.1	visual/auditory	audio/Ambush_in_Rattlesnake_Gulch.wav
2.1	5.5	motor/auditory	audio/Ambush_in_Rattlesnake_Gulch.wav
1.2	6.2	motor	
3.2	3.8	visual	
0.9	3.8	visual/auditory	audio/Shenzhen_Nightlife.wav
3.4	3.6	motor	
3.6	3.6	motor/auditory	audio/Funshine.wav
2.5	4.1	visual	
3.5	4.0	visual/auditory	audio/Desert_Conflict.wav
3.5	6.2	visual	
2.6	5.5	visual/auditory	audio/Improv_for_Evil.wav
2.0	4.7	motor	
1.5	5.6	motor/auditory	audio/Bleu.wav
3.3	6.3	visual	
3.8	5.4	motor/auditory	audio/Coy_Koi.wav
1.0	5.6	visual/auditory	audio/Bollywood_Groove.wav
1.2	7.8	motor	
2.1	5.0	motor/auditory	audio/Shenzhen_Nightlife.wav
0.9	4.1	visual	
3.7	6.2	visual/auditory	audio/Ambush_in_Rattlesnake_Gulch.wav
0.6	5.0	motor	
3.8	3.7	motor/auditory	audio/Cumbish.wav
3.0	3.9	visual/auditory	audio/Bleu.wav
3.0	2.9	motor	
1.6	3.9	visual	
3.3	6.5	motor	
1.8	3.7	visual	
0.8	3.5	visual/auditory	audio/Breaking_Bollywood.wav
2.6	4.5	motor/auditory	audio/Desert_Conflict.wav
1.3	3.9	visual	
2.8	3.2	motor/auditory	audio/Bollywood_Groove.wav
2.3	3.1	visual/auditory	audio/Breaking_Bollywood.wav
3.7	3.9	motor	
1.7	6.3	visual/auditory	audio/Stereotype_News.wav
1.0	5.3	motor	
0.6	6.0	motor/auditory	audio/Breaking_Bollywood.wav
2.6	5.7	visual	
1.1	5.3	visual/auditory	audio/Cumbish.wav
1.6	4.1	motor	
3.4	5.1	motor/auditory	audio/Cumbish.wav
2.2	6.2	visual	
1.8	4.9	motor	
0.5	4.1	visual	
2.0	6.5	visual/auditory	audio/Jack_The_Lumberer.wav
3.1	15.8	motor/auditory	audio/Coy_Koi.wav
