duration	iti	trial_type	stim_file
2.0	5.0	motor	
2.2	4.7	visual	
3.1	4.9	visual/auditory	audio/Breaking_Bollywood.wav
3.3	6.2	motor/auditory	audio/Le_Baguette.wav
2.8	4.8	motor	
3.0	4.8	visual/auditory	audio/Jack_The_Lumberer.wav
1.2	4.6	motor/auditory	audio/Funshine.wav
1.4	4.0	visual	
2.5	2.7	motor/auditory	audio/Le_Baguette.wav
2.3	3.6	visual/auditory	audio/Cumbish.wav
1.6	5.3	visual	
2.9	3.3	motor	
3.7	6.5	visual	
0.8	3.4	motor/auditory	audio/Ambush_in_Rattlesnake_Gulch.wav
1.6	3.7	visual/auditory	audio/Ukulele_Song.wav
3.4	5.0	motor	
2.3	5.5	visual	
3.8	5.3	visual/auditory	audio/Shenzhen_Nightlife.wav
3.1	6.2	motor	
3.2	3.9	motor/auditory	audio/Bleu.wav
3.4	3.3	visual/auditory	audio/Bollywood_Groove.wav
1.9	4.5	visual	
3.6	7.9	motor/auditory	audio/Ambush_in_Rattlesnake_Gulch.wav
3.9	7.6	motor	
2.8	4.1	motor/auditory	audio/Bleu.wav
2.6	4.8	motor	
2.9	5.7	visual	
1.5	4.2	visual/auditory	audio/Cumbish.wav
3.7	3.3	motor	
1.5	4.1	motor/auditory	audio/Desert_Conflict.wav
2.9	4.9	visual	
2.0	3.1	visual/auditory	audio/Coy_Koi.wav
3.7	3.4	visual	
2.8	5.4	motor/auditory	audio/Shenzhen_Nightlife.wav
3.5	4.0	motor	
2.2	3.7	visual/auditory	audio/Ukulele_Song.wav
4.0	4.4	motor	
3.7	6.4	motor/auditory	audio/Bollywood_Groove.wav
2.5	4.5	visual/auditory	audio/Stereotype_News.wav
2.3	3.8	visual	
1.7	4.1	motor/auditory	audio/Funshine.wav
0.7	4.1	visual	
2.7	4.0	motor	
1.0	5.1	visual/auditory	audio/Jack_The_Lumberer.wav
1.9	5.3	motor/auditory	audio/Stereotype_News.wav
3.7	4.3	motor	
3.2	5.0	visual	
2.1	4.8	visual/auditory	audio/Bollywood_Groove.wav
1.4	3.4	visual	
1.8	3.7	visual/auditory	audio/Stereotype_News.wav
3.6	5.0	motor	
1.5	6.4	motor/auditory	audio/Ambush_in_Rattlesnake_Gulch.wav
3.2	3.1	motor	
1.6	5.8	visual/auditory	audio/Shenzhen_Nightlife.wav
3.7	5.0	motor/auditory	audio/Improv_for_Evil.wav
1.4	5.0	visual	
3.3	3.0	motor	
3.1	4.9	visual/auditory	audio/Breaking_Bollywood.wav
1.8	5.9	motor/auditory	audio/Bleu.wav
2.3	10.3	visual	
